"movie_id","movie_name","movie_distributor","movie_genre"
"Drama_2000_108","Une Liaison pornographique","Fine Line","Drama"
"Drama_2000_109","Thirteen Days","New Line","Drama"
"Drama_2000_110","Baise-moi","","Drama"
"Drama_2000_111","Beau Travail","New Yorker","Drama"
"Drama_2000_112","Tumbleweeds","Fine Line","Drama"
"Drama_2000_113","Before Night Falls","Fine Line","Drama"
"Drama_2000_114","The Tic Code","","Drama"
"Drama_2000_115","Bulandi","","Drama"
"Drama_2000_116","Kikujiro","","Drama"
"Drama_2000_117","The War Zone","Lot 47 Films","Drama"
"Drama_2000_118","Left Luggage","Castle Hill Produ…","Drama"
"Drama_2000_119","Cleopatra's Second Husband","Indican Pictures","Drama"
"Drama_2000_120","Mercy Streets","","Drama"
"Drama_2000_121","The Limey","Artisan","Drama"
"Drama_2000_122","The House of Mirth","Sony Pictures Cla…","Drama"
"Drama_2000_123","The Silence","New Yorker","Drama"
"Drama_2000_124","Pola X","","Drama"
"Drama_2000_125","Shadow of the Vampire","Lionsgate","Drama"
"Drama_2000_126","Un pont entre deux rives","Phaedra Cinema","Drama"
"Drama_2000_127","Tigerland","20th Century Fox","Drama"
"Drama_2000_128","Hum to Mohabbt Karega","","Drama"
"Drama_2000_129","The Messenger: The Story of…","Sony Pictures","Drama"
"Drama_2000_130","La ciudad","Zeitgeist","Drama"
"Drama_2000_131","Boricua's Bond","Focus Features","Drama"
"Drama_2000_132","Boys Life 3","Strand","Drama"
"Drama_2000_133","Music of the Heart","Miramax","Drama"
"Drama_2000_134","The King of Masks","Goldwyn Entertain…","Drama"
"Drama_2000_135","Flawless","MGM","Drama"
"Drama_2000_136","Panic","Roxie Releasing","Drama"
"Drama_2000_137","Le grand bleu","Sony Pictures","Drama"
"Drama_2000_138","Rosetta","USA Films","Drama"
"Drama_2000_139","Beefcake","Strand","Drama"
"Drama_2000_140","Felicia's Journey","Artisan","Drama"
"Drama_2000_141","Titanic Town","","Drama"
"Drama_2000_142","Earth","Zeitgeist","Drama"
"Drama_2000_143","à bout de souffle","Films Around the …","Drama"
"Drama_2000_144","Luminous Motion","","Drama"
"Drama_2000_145","Light It Up","20th Century Fox","Drama"
"Drama_2000_146","Pollock","Sony Pictures Cla…","Drama"
"Drama_2000_147","Animal Factory","","Drama"
"Drama_2000_148","Madadayo","WinStar Cinema","Drama"
"Drama_2000_149","Himalaya - l'enfance d'un chef","Kino International","Drama"
"Drama_2000_150","Burlesk King","Strand","Drama"
"Drama_2000_151","Last Night","Lionsgate","Drama"
"Drama_2000_152","Boesman and Lena","Kino International","Drama"
"Drama_2000_153","The Weekend","","Drama"
"Drama_2000_154","Wings of Courage","Sony Pictures Cla…","Drama"
"Drama_2000_155","Wandafuru raifu","Artistic License","Drama"
"Drama_2000_156","Diary of a Chambermaid","","Drama"
"Drama_2000_157","Chunhyang","Lot 47 Films","Drama"
"Drama_2000_158","The Autumn Heart","Arrow Releasing","Drama"
"Drama_2000_159","Family Tree","","Drama"
"Drama_2000_160","All About Eve","20th Century Fox","Drama"
"Drama_2000_161","Claire Dolan","New Yorker","Drama"
"Drama_2000_162","Harem Suare","","Drama"
"Drama_2000_163","The Visit","","Drama"
"Drama_2000_164","Babymother","Fine Line","Drama"
"Drama_2000_165","Followers","","Drama"
"Drama_2000_166","Steam: The Turkish Bath","Strand","Drama"
"Drama_2000_167","Le Chal Apne Sang","Eros Entertainment","Drama"
"Drama_2000_168","The Trial of Old Drum","","Drama"
"Drama_2000_169","Eastside","","Drama"
"Drama_2001_1","Traffic","USA Films","Drama"
"Drama_2001_2","Save the Last Dance","Paramount Pictures","Drama"
"Drama_2001_3","Artificial Intelligence: AI","Warner Bros.","Drama"
"Drama_2001_4","Chocolat","Miramax","Drama"
"Drama_2001_5","Blow","New Line","Drama"
"Drama_2001_6","Enemy at the Gates","Paramount Pictures","Drama"
"Drama_2001_7","K-PAX","Universal","Drama"
"Drama_2001_8","Ali","Sony Pictures","Drama"
"Drama_2001_9","Finding Forrester","Sony Pictures","Drama"
"Drama_2001_10","Hardball","Paramount Pictures","Drama"
"Drama_2001_11","A Beautiful Mind","Universal","Drama"
"Drama_2001_12","Thirteen Days","New Line","Drama"
"Drama_2001_13","Riding in Cars with Boys","Sony Pictures","Drama"
"Drama_2001_14","Baby Boy","Sony Pictures","Drama"
"Drama_2001_15","Captain Corelli's Mandolin","Miramax","Drama"
"Drama_2001_16","Sweet November","Warner Bros.","Drama"
"Drama_2001_17","Hearts in Atlantis","Warner Bros.","Drama"
"Drama_2001_18","Angel Eyes","Warner Bros.","Drama"
"Drama_2001_19","The Majestic","Warner Bros.","Drama"
"Drama_2001_20","The Pledge","Warner Bros.","Drama"
"Drama_2001_21","The Last Castle","Dreamworks SKG","Drama"
"Drama_2001_22","Rock Star","Warner Bros.","Drama"
"Drama_2001_23","crazy/beautiful","Walt Disney","Drama"
"Drama_2001_24","O (Othello)","Lionsgate","Drama"
"Drama_2001_25","3000 Miles to Graceland","Warner Bros.","Drama"
"Drama_2001_26","Life as a House","New Line","Drama"
"Drama_2001_27","Pollock","Sony Pictures Cla…","Drama"
"Drama_2001_28","Shadow of the Vampire","Lionsgate","Drama"
"Drama_2001_29","The Man Who Wasn't There","USA Films","Drama"
"Drama_2001_30","Sexy Beast","Fox Searchlight","Drama"
"Drama_2001_31","Mulholland Drive","Universal","Drama"
"Drama_2001_32","Amores Perros","Lionsgate","Drama"
"Drama_2001_33","You Can Count on Me","Paramount Vantage","Drama"
"Drama_2001_34","Billy Elliot","Focus Features","Drama"
"Drama_2001_35","The Shipping News","Miramax","Drama"
"Drama_2001_36","In the Bedroom","Miramax","Drama"
"Drama_2001_37","Left Behind","Cloud Ten Pictures","Drama"
"Drama_2001_38","The Anniversary Party","Fine Line","Drama"
"Drama_2001_39","Before Night Falls","Fine Line","Drama"
"Drama_2001_40","Quills","Fox Searchlight","Drama"
"Drama_2001_41","The Widow of St. Pierre","Lionsgate","Drama"
"Drama_2001_42","Songcatcher","Lionsgate","Drama"
"Drama_2001_43","The Golden Bowl","Lionsgate","Drama"
"Drama_2001_44","Malena","Miramax","Drama"
"Drama_2001_45","The House of Mirth","Sony Pictures Cla…","Drama"
"Drama_2001_46","Kabhi Khushi Kabhie Gham","Yash Raj Films","Drama"
"Drama_2001_47","In the Mood for Love","Focus Features","Drama"
"Drama_2001_48","Waking Life","Fox Searchlight","Drama"
"Drama_2001_49","Himalaya - l'enfance d'un chef","Kino International","Drama"
"Drama_2001_50","Gabriela","Power Point Films","Drama"
"Drama_2001_51","Innocence","IDP Distribution","Drama"
"Drama_2001_52","Remember the Titans","Walt Disney","Drama"
"Drama_2001_53","China: The Panda Adventure","IMAX Films","Drama"
"Drama_2001_54","Carman: The Champion","8X Entertainment","Drama"
"Drama_2001_55","Under the Sand","WellSpring","Drama"
"Drama_2001_56","Divided We Fall","Sony Pictures Cla…","Drama"
"Drama_2001_57","Men of Honor","20th Century Fox","Drama"
"Drama_2001_58","The Road Home","Sony Pictures Cla…","Drama"
"Drama_2001_59","L.I.E.","Lot 47 Films","Drama"
"Drama_2001_60","The Center of the World","Artisan","Drama"
"Drama_2001_61","The Luzhin Defence","Sony Pictures","Drama"
"Drama_2001_62","Liam","Lionsgate","Drama"
"Drama_2001_63","Encounter in the Third Dime…","nWave Pictures","Drama"
"Drama_2001_64","Left Luggage","Castle Hill Produ…","Drama"
"Drama_2001_65","Der Krieger und die Kaiserin","Sony Pictures Cla…","Drama"
"Drama_2001_66","An American Rhapsody","Paramount Vantage","Drama"
"Drama_2001_67","Requiem for a Dream","Artisan","Drama"
"Drama_2001_68","The Business of Strangers","IFC Films","Drama"
"Drama_2001_69","Chunhyang","Lot 47 Films","Drama"
"Drama_2001_70","Yi Yi","WellSpring","Drama"
"Drama_2001_71","The Man Who Cried","Focus Features","Drama"
"Drama_2001_72","Faithless","IDP Distribution","Drama"
"Drama_2001_73","Asoka","First Look","Drama"
"Drama_2001_74","Panic","Roxie Releasing","Drama"
"Drama_2001_75","The Caveman's Valentine","Focus Features","Drama"
"Drama_2001_76","Lumumba","Zeitgeist","Drama"
"Drama_2001_77","Focus","Paramount Vantage","Drama"
"Drama_2001_78","The Legend of Rita","Kino International","Drama"
"Drama_2001_79","The Other Side of Heaven","Excel Entertainment","Drama"
"Drama_2001_80","Dayereh","WinStar Cinema","Drama"
"Drama_2001_81","Yaadein","Tips Exports","Drama"
"Drama_2001_82","15 février 1839","Lionsgate","Drama"
"Drama_2001_83","Dinner Rush","Access Motion Pic…","Drama"
"Drama_2001_84","Les Rivières Pourpres","","Drama"
"Drama_2001_85","My First Mister","Paramount Vantage","Drama"
"Drama_2001_86","Pay it Forward","Warner Bros.","Drama"
"Drama_2001_87","Bread and Roses","Lionsgate","Drama"
"Drama_2001_88","Our Lady of the Assassins","Paramount Vantage","Drama"
"Drama_2001_89","Fat Girl","Cowboy Pictures","Drama"
"Drama_2001_90","Big Eden","","Drama"
"Drama_2001_91","Bully","Lionsgate","Drama"
"Drama_2001_92","Intimacy","Empire Pictures","Drama"
"Drama_2001_93","The Affair of the Necklace","Warner Bros.","Drama"
"Drama_2001_94","Donnie Darko","Newmarket Films","Drama"
"Drama_2001_95","Bride of the Wind","Paramount Vantage","Drama"
"Drama_2001_96","Monster's Ball","Lionsgate","Drama"
"Drama_2001_97","Lantana","Lionsgate","Drama"
"Drama_2001_98","Nico and Dani","Avatar","Drama"
"Drama_2001_99","Across The Sea of Time","Sony Pictures Cla…","Drama"
"Drama_2001_100","No Man's Land","MGM","Drama"
"Drama_2001_101","Wings of Courage","Sony Pictures Cla…","Drama"
"Drama_2001_102","Chopper","First Look","Drama"
"Drama_2001_103","Kandahar","Avatar","Drama"
"Drama_2001_104","Plata quemada","Strand","Drama"
"Drama_2001_105","The Fluffer","TLA Releasing","Drama"
"Drama_2001_106","Bande à part","Rialto Pictures","Drama"
"Drama_2001_107","The Visit","","Drama"
"Drama_2001_108","Series 7: The Contenders","","Drama"
"Drama_2001_109","Boys to Men","Jour de Fete","Drama"
"Drama_2001_110","A Time for Drunken Horses","Shooting Gallery","Drama"
"Drama_2001_111","Place Vendome","Empire Pictures","Drama"
"Drama_2001_112","Bounce","Miramax","Drama"
"Drama_2001_113","Baise-moi","","Drama"
"Drama_2001_114","Charlotte Gray","Warner Bros.","Drama"
"Drama_2001_115","I Am Sam","New Line","Drama"
"Drama_2001_116","Boys Life 3","Strand","Drama"
"Drama_2001_117","Downtown 81","","Drama"
"Drama_2001_118","ABCD","Eros Entertainment","Drama"
"Drama_2001_119","Dekalog","New Yorker","Drama"
"Drama_2001_120","Iris","Miramax","Drama"
"Drama_2001_121","The Invisible Circus","","Drama"
"Drama_2001_122","Eureka","","Drama"
"Drama_2001_123","The Amati Girls","Providence Entert…","Drama"
"Drama_2001_124","Aberdeen","First Run Features","Drama"
"Drama_2001_125","Aimée & Jaguar","Zeitgeist","Drama"
"Drama_2001_126","Jackpot","","Drama"
"Drama_2001_127","Bob le flambeur","Triumph Releasing","Drama"
"Drama_2001_128","Abril Despedaçado","Miramax","Drama"
"Drama_2001_129","Baran","Miramax","Drama"
"Drama_2001_130","The Basket","MGM","Drama"
"Drama_2001_131","Auggie Rose","Roxie Releasing","Drama"
"Drama_2001_132","La baie des anges","Pathe Contemporar…","Drama"
"Drama_2001_133","Sunshine","Paramount Vantage","Drama"
"Drama_2001_134","Adanggaman","New Yorker","Drama"
"Drama_2001_135","Cleopatra's Second Husband","Indican Pictures","Drama"
"Drama_2001_136","Goya in Bordeaux","Sony Pictures Cla…","Drama"
"Drama_2001_137","Maze","","Drama"
"Drama_2001_138","Pola X","","Drama"
"Drama_2001_139","Forgive Me Father","Myriad Entertainm…","Drama"
"Drama_2001_140","The Annihilation of Fish","Regent Releasing","Drama"
"Drama_2001_141","à bout de souffle","Films Around the …","Drama"
"Drama_2001_142","Journey to the Sun","","Drama"
"Drama_2001_143","Otomo","ArtMattan Product…","Drama"
"Drama_2001_144","Beau Travail","New Yorker","Drama"
"Drama_2001_145","Rembrandt","","Drama"
"Drama_2001_146","Come and See","Self Distributed","Drama"
"Drama_2001_147","The River","","Drama"
"Drama_2001_148","La chambre des magiciennes","","Drama"
"Drama_2001_149","Hamlet","","Drama"
"Drama_2001_150","Burlesk King","Strand","Drama"
"Drama_2001_151","The Weekend","","Drama"
"Drama_2001_152","Mauvais sang","","Drama"
"Drama_2001_153","Diary of a Chambermaid","","Drama"
"Drama_2002_1","A Beautiful Mind","Universal","Drama"
"Drama_2002_2","8 Mile","Universal","Drama"
"Drama_2002_3","Road to Perdition","Dreamworks SKG","Drama"
"Drama_2002_4","Catch Me if You Can","Dreamworks SKG","Drama"
"Drama_2002_5","We Were Soldiers","Paramount Pictures","Drama"
"Drama_2002_6","E.T. the Extra-Terrestrial","Universal","Drama"
"Drama_2002_7","The Rookie","Walt Disney","Drama"
"Drama_2002_8","Gangs of New York","Miramax","Drama"
"Drama_2002_9","A Walk to Remember","Warner Bros.","Drama"
"Drama_2002_10","I Am Sam","New Line","Drama"
"Drama_2002_11","Blue Crush","Universal","Drama"
"Drama_2002_12","Crossroads","Paramount Pictures","Drama"
"Drama_2002_13","In the Bedroom","Miramax","Drama"
"Drama_2002_14","One Hour Photo","Fox Searchlight","Drama"
"Drama_2002_15","Monster's Ball","Lionsgate","Drama"
"Drama_2002_16","Dragonfly","Universal","Drama"
"Drama_2002_17","Swimfan","20th Century Fox","Drama"
"Drama_2002_18","City by the Sea","Warner Bros.","Drama"
"Drama_2002_19","Frida","Miramax","Drama"
"Drama_2002_20","Hart's War","MGM","Drama"
"Drama_2002_21","Tuck Everlasting","Walt Disney","Drama"
"Drama_2002_22","The Four Feathers","Paramount Pictures","Drama"
"Drama_2002_23","Empire","Universal","Drama"
"Drama_2002_24","White Oleander","Warner Bros.","Drama"
"Drama_2002_25","Solaris","20th Century Fox","Drama"
"Drama_2002_26","The Good Girl","Fox Searchlight","Drama"
"Drama_2002_27","The Emperor's Club","Universal","Drama"
"Drama_2002_28","Y Tu Mamá También","IFC Films","Drama"
"Drama_2002_29","Undisputed","Miramax","Drama"
"Drama_2002_30","About Schmidt","New Line","Drama"
"Drama_2002_31","Knockaround Guys","New Line","Drama"
"Drama_2002_32","Far From Heaven","Focus Features","Drama"
"Drama_2002_33","Possession","Focus Features","Drama"
"Drama_2002_34","Ali","Sony Pictures","Drama"
"Drama_2002_35","The Shipping News","Miramax","Drama"
"Drama_2002_36","Moonlight Mile","Walt Disney","Drama"
"Drama_2002_37","Antwone Fisher","Fox Searchlight","Drama"
"Drama_2002_38","Deuces Wild","MGM","Drama"
"Drama_2002_39","Iris","Miramax","Drama"
"Drama_2002_40","El crimen de padre Amaro","Goldwyn Entertain…","Drama"
"Drama_2002_41","The Majestic","Warner Bros.","Drama"
"Drama_2002_42","Lovely and Amazing","Lionsgate","Drama"
"Drama_2002_43","Lantana","Lionsgate","Drama"
"Drama_2002_44","The Other Side of Heaven","Excel Entertainment","Drama"
"Drama_2002_45","Secretary","Lionsgate","Drama"
"Drama_2002_46","The Fast Runner","Lot 47 Films","Drama"
"Drama_2002_47","Thirteen Conversations Abou…","Sony Pictures Cla…","Drama"
"Drama_2002_48","The Cat's Meow","Lionsgate","Drama"
"Drama_2002_49","American Adobo","Outrider Pictures","Drama"
"Drama_2002_50","Sunshine State","Sony Pictures Cla…","Drama"
"Drama_2002_51","Paid in Full","Rat Entertainment","Drama"
"Drama_2002_52","Sex and Lucia","Palm Pictures","Drama"
"Drama_2002_53","Last Orders","Sony Pictures Cla…","Drama"
"Drama_2002_54","Hable con ella","Sony Pictures Cla…","Drama"
"Drama_2002_55","Auto Focus","Sony Pictures Cla…","Drama"
"Drama_2002_56","La Pianiste","Kino International","Drama"
"Drama_2002_57","Harrison's Flowers","Universal","Drama"
"Drama_2002_58","The Dangerous Lives of Alta…","ThinkFilm","Drama"
"Drama_2002_59","Seraphin un Homme et Son","Odeon Films","Drama"
"Drama_2002_60","Rabbit-Proof Fence","Miramax","Drama"
"Drama_2002_61","Late Marriage","Magnolia Pictures","Drama"
"Drama_2002_62","Ararat","Miramax","Drama"
"Drama_2002_63","Mulholland Drive","Universal","Drama"
"Drama_2002_64","Apollo 13","Universal","Drama"
"Drama_2002_65","Joshua","Artisan","Drama"
"Drama_2002_66","Read My Lips","Magnolia Pictures","Drama"
"Drama_2002_67","Nueve Reinas","Sony Pictures Cla…","Drama"
"Drama_2002_68","China: The Panda Adventure","IMAX Films","Drama"
"Drama_2002_69","Kandahar","Avatar","Drama"
"Drama_2002_70","24 Hour Party People","MGM","Drama"
"Drama_2002_71","The Hours","Paramount Pictures","Drama"
"Drama_2002_72","The Last Kiss","ThinkFilm","Drama"
"Drama_2002_73","Evelyn","MGM","Drama"
"Drama_2002_74","The Son's Room","Miramax","Drama"
"Drama_2002_75","The Pianist","Focus Features","Drama"
"Drama_2002_76","Time Changer","Five & Two Pictures","Drama"
"Drama_2002_77","Kaante","Media Partners","Drama"
"Drama_2002_78","Storytelling","Fine Line","Drama"
"Drama_2002_79","Russkiy kovcheg","WellSpring","Drama"
"Drama_2002_80","No Man's Land","MGM","Drama"
"Drama_2002_81","Bloody Sunday","Paramount Vantage","Drama"
"Drama_2002_82","Personal Velocity","MGM","Drama"
"Drama_2002_83","Savage Messiah","Christal Films","Drama"
"Drama_2002_84","The Emperor's New Clothes","Paramount Vantage","Drama"
"Drama_2002_85","25th Hour","Walt Disney","Drama"
"Drama_2002_86","Forgive Me Father","Myriad Entertainm…","Drama"
"Drama_2002_87","Charlotte Gray","Warner Bros.","Drama"
"Drama_2002_88","Encounter in the Third Dime…","nWave Pictures","Drama"
"Drama_2002_89","The Man Who Wasn't There","USA Films","Drama"
"Drama_2002_90","Time Out","","Drama"
"Drama_2002_91","The Believer","Sony Pictures","Drama"
"Drama_2002_92","The Fluffer","TLA Releasing","Drama"
"Drama_2002_93","The Quiet American","Miramax","Drama"
"Drama_2002_94","Jibeuro","","Drama"
"Drama_2002_95","Waking Life","Fox Searchlight","Drama"
"Drama_2002_96","Skins","First Look","Drama"
"Drama_2002_97","The Business of Strangers","IFC Films","Drama"
"Drama_2002_98","Circuit","Jour de Fete","Drama"
"Drama_2002_99","In Praise of Love","","Drama"
"Drama_2002_100","Nicholas Nickleby","United Artists","Drama"
"Drama_2002_101","Murderous Maids","","Drama"
"Drama_2002_102","Tully","","Drama"
"Drama_2002_103","Betty Fisher et autres hist…","WellSpring","Drama"
"Drama_2002_104","The Business of Fancy Dancing","Outrider Pictures","Drama"
"Drama_2002_105","Confessions of a Dangerous …","Miramax","Drama"
"Drama_2002_106","Fat Girl","Cowboy Pictures","Drama"
"Drama_2002_107","Swimming","","Drama"
"Drama_2002_108","Shiqi sui de dan che","Sony Pictures Cla…","Drama"
"Drama_2002_109","All or Nothing","MGM","Drama"
"Drama_2002_110","Dahmer","","Drama"
"Drama_2002_111","Across The Sea of Time","Sony Pictures Cla…","Drama"
"Drama_2002_112","The Cherry Orchard","","Drama"
"Drama_2002_113","Stolen Summer","Miramax","Drama"
"Drama_2002_114","Big Bad Love","IFC Films","Drama"
"Drama_2002_115","Intimacy","Empire Pictures","Drama"
"Drama_2002_116","Shiri","","Drama"
"Drama_2002_117","Hometown Legend","","Drama"
"Drama_2002_118","Code Unknown","","Drama"
"Drama_2002_119","Donnie Darko","Newmarket Films","Drama"
"Drama_2002_120","Baran","Miramax","Drama"
"Drama_2002_121","Borstal Boy","Strand","Drama"
"Drama_2002_122","Himalaya - l'enfance d'un chef","Kino International","Drama"
"Drama_2002_123","Dekalog","New Yorker","Drama"
"Drama_2002_124","Intacto","","Drama"
"Drama_2002_125","Max","Lionsgate","Drama"
"Drama_2002_126","Taliesin Jones","","Drama"
"Drama_2002_127","Hardball","Paramount Pictures","Drama"
"Drama_2002_128","Umberto D","Janus Films","Drama"
"Drama_2002_129","Saathiya","","Drama"
"Drama_2002_130","Langrishe, Go Down","","Drama"
"Drama_2002_131","Wings of Courage","Sony Pictures Cla…","Drama"
"Drama_2002_132","Chelsea Walls","Lionsgate","Drama"
"Drama_2002_133","Harvard Man","","Drama"
"Drama_2002_134","La baie des anges","Pathe Contemporar…","Drama"
"Drama_2002_135","Ciao America","","Drama"
"Drama_2002_136","Children on Their Birthdays","Artisan","Drama"
"Drama_2002_137","O Fantasma","","Drama"
"Drama_2002_138","Ivan's XTC","","Drama"
"Drama_2002_139","Plata quemada","Strand","Drama"
"Drama_2002_140","Astoria","Distributor Unknown","Drama"
"Drama_2002_141","An American Rhapsody","Paramount Vantage","Drama"
"Drama_2002_142","Focus","Paramount Vantage","Drama"
"Drama_2002_143","Innocence","IDP Distribution","Drama"
"Drama_2002_144","Love Liza","","Drama"
"Drama_2002_145","Les enfants du siècle","Empire Pictures","Drama"
