"movie_id","movie_name","movie_distributor","movie_genre"
"Adventure_2002_25","Jonah: A VeggieTales Movie","Artisan","Adventure"
"Adventure_2002_26","Jimmy Neutron: Boy Genius","Paramount Pictures","Adventure"
"Adventure_2002_27","Harry Potter and the Sorcer…","Warner Bros.","Adventure"
"Adventure_2002_28","The Country Bears","Walt Disney","Adventure"
"Adventure_2002_29","Hey Arnold! The Movie","Paramount Pictures","Adventure"
"Adventure_2002_30","The Powerpuff Girls","Warner Bros.","Adventure"
"Adventure_2002_31","Monsters, Inc.","Walt Disney","Adventure"
"Adventure_2002_32","Sen to Chihiro no Kamikakushi","Walt Disney","Adventure"
"Adventure_2002_33","The Lion King","Walt Disney","Adventure"
"Adventure_2002_34","T-Rex: Back to the Cretaceous","IMAX Films","Adventure"
"Adventure_2002_35","Spider-Man/Men in Black II …","Sony Pictures","Adventure"
"Adventure_2002_36","Pinocchio","Miramax","Adventure"
"Adventure_2002_37","Haunted Castle","nWave Pictures","Adventure"
"Adventure_2002_38","Santa vs. The Snowman","IMAX Films","Adventure"
"Adventure_2002_39","Pokemon 4Ever","Miramax","Adventure"
"Adventure_2002_40","Black Knight","20th Century Fox","Adventure"
"Adventure_2002_41","Cyberworld 3D","IMAX Films","Adventure"
"Adventure_2002_42","Metropolis","Sony Pictures","Adventure"
"Adventure_2002_43","Alien Adventure","nWave Pictures","Adventure"
"Adventure_2002_44","Planet of the Apes","20th Century Fox","Adventure"
"Adventure_2002_45","Max Keeble's Big Move","Walt Disney","Adventure"
"Adventure_2002_46","Hansel & Gretel","","Adventure"
"Adventure_2002_47","Steel Spirit","Cinema Guild","Adventure"
"Adventure_2003_1","Finding Nemo","Walt Disney","Adventure"
"Adventure_2003_2","Pirates of the Caribbean: T…","Walt Disney","Adventure"
"Adventure_2003_3","The Lord of the Rings: The …","New Line","Adventure"
"Adventure_2003_4","Spy Kids 3-D: Game Over","Miramax/Dimension","Adventure"
"Adventure_2003_5","The Italian Job","Paramount Pictures","Adventure"
"Adventure_2003_6","The Cat in the Hat","Universal","Adventure"
"Adventure_2003_7","Brother Bear","Walt Disney","Adventure"
"Adventure_2003_8","Master and Commander: The F…","20th Century Fox","Adventure"
"Adventure_2003_9","The Lord of the Rings: The …","New Line","Adventure"
"Adventure_2003_10","The Haunted Mansion","Walt Disney","Adventure"
"Adventure_2003_11","Holes","Walt Disney","Adventure"
"Adventure_2003_12","Kangaroo Jack","Warner Bros.","Adventure"
"Adventure_2003_13","The League of Extraordinary…","20th Century Fox","Adventure"
"Adventure_2003_14","Lara Croft: Tomb Raider: Th…","Paramount Pictures","Adventure"
"Adventure_2003_15","The Jungle Book 2","Walt Disney","Adventure"
"Adventure_2003_16","Agent Cody Banks","MGM","Adventure"
"Adventure_2003_17","The Lizzie McGuire Movie","Walt Disney","Adventure"
"Adventure_2003_18","Rugrats Go Wild","Paramount Pictures","Adventure"
"Adventure_2003_19","Good Boy!","MGM","Adventure"
"Adventure_2003_20","Peter Pan","Universal","Adventure"
"Adventure_2003_21","Johnny English","Universal","Adventure"
"Adventure_2003_22","Sinbad: Legend of the Seven…","Dreamworks SKG","Adventure"
"Adventure_2003_23","Piglet's Big Movie","Walt Disney","Adventure"
"Adventure_2003_24","Looney Tunes: Back in Action","Warner Bros.","Adventure"
"Adventure_2003_25","Timeline","Paramount Pictures","Adventure"
"Adventure_2003_26","Harry Potter and the Chambe…","Warner Bros.","Adventure"
"Adventure_2003_27","The Lion King","Walt Disney","Adventure"
"Adventure_2003_28","The Wild Thornberrys Movie","Paramount Pictures","Adventure"
"Adventure_2003_29","Grind","Warner Bros.","Adventure"
"Adventure_2003_30","Sen to Chihiro no Kamikakushi","Walt Disney","Adventure"
"Adventure_2003_31","T-Rex: Back to the Cretaceous","IMAX Films","Adventure"
"Adventure_2003_32","Star Trek: Nemesis","Paramount Pictures","Adventure"
"Adventure_2003_33","Haunted Castle","nWave Pictures","Adventure"
"Adventure_2003_34","Young Black Stallion","Walt Disney","Adventure"
"Adventure_2003_35","Treasure Planet","Walt Disney","Adventure"
"Adventure_2003_36","The Legend of Johnny Lingo","Innovation Film G…","Adventure"
"Adventure_2003_37","The Santa Clause 2","Walt Disney","Adventure"
"Adventure_2003_38","Santa vs. The Snowman","IMAX Films","Adventure"
"Adventure_2003_39","Pokemon Heroes","Miramax","Adventure"
"Adventure_2003_40","Help! I'm a Fish","","Adventure"
"Adventure_2003_41","The Lord of the Rings: The …","New Line","Adventure"
"Adventure_2003_42","Pinocchio","Miramax","Adventure"
"Adventure_2003_43","Spy Kids 2: The Island of L…","Miramax/Dimension","Adventure"
"Adventure_2003_44","Gerry","ThinkFilm","Adventure"
"Adventure_2003_45","Jonah: A VeggieTales Movie","Artisan","Adventure"
"Adventure_2003_46","Alien Adventure","nWave Pictures","Adventure"
"Adventure_2004_1","Shrek 2","Dreamworks SKG","Adventure"
"Adventure_2004_2","Spider-Man 2","Sony Pictures","Adventure"
"Adventure_2004_3","The Incredibles","Walt Disney","Adventure"
"Adventure_2004_4","Harry Potter and the Prison…","Warner Bros.","Adventure"
"Adventure_2004_5","The Day After Tomorrow","20th Century Fox","Adventure"
"Adventure_2004_6","Shark Tale","Dreamworks SKG","Adventure"
"Adventure_2004_7","The Polar Express","Warner Bros.","Adventure"
"Adventure_2004_8","National Treasure","Walt Disney","Adventure"
"Adventure_2004_9","Ocean's Twelve","Warner Bros.","Adventure"
"Adventure_2004_10","Lemony Snicket's A Series o…","Paramount Pictures","Adventure"
"Adventure_2004_11","The Lord of the Rings: The …","New Line","Adventure"
"Adventure_2004_12","Scooby-Doo 2: Monsters Unle…","Warner Bros.","Adventure"
"Adventure_2004_13","SpongeBob SquarePants: The …","Paramount Pictures","Adventure"
"Adventure_2004_14","Garfield: The Movie","20th Century Fox","Adventure"
"Adventure_2004_15","The Chronicles of Riddick","Universal","Adventure"
"Adventure_2004_16","King Arthur","Walt Disney","Adventure"
"Adventure_2004_17","Home on the Range","Walt Disney","Adventure"
"Adventure_2004_18","Sky Captain and the World o…","Paramount Pictures","Adventure"
"Adventure_2004_19","Around the World in 80 Days","Walt Disney","Adventure"
"Adventure_2004_20","Agent Cody Banks 2: Destina…","MGM","Adventure"
"Adventure_2004_21","Yu-Gi-Oh","Warner Bros.","Adventure"
"Adventure_2004_22","Flight of the Phoenix","20th Century Fox","Adventure"
"Adventure_2004_23","Catch That Kid","20th Century Fox","Adventure"
"Adventure_2004_24","Peter Pan","Universal","Adventure"
"Adventure_2004_25","Master and Commander: The F…","20th Century Fox","Adventure"
"Adventure_2004_26","Sleepover","MGM","Adventure"
"Adventure_2004_27","Superbabies: Baby Geniuses 2","Sony Pictures","Adventure"
"Adventure_2004_28","Thunderbirds","Universal","Adventure"
"Adventure_2004_29","Teacher's Pet: The Movie","Walt Disney","Adventure"
"Adventure_2004_30","The Haunted Mansion","Walt Disney","Adventure"
"Adventure_2004_31","Young Black Stallion","Walt Disney","Adventure"
"Adventure_2004_32","Clifford's Really Big Movie","Warner Bros.","Adventure"
"Adventure_2004_33","T-Rex: Back to the Cretaceous","IMAX Films","Adventure"
"Adventure_2004_34","Santa vs. The Snowman","IMAX Films","Adventure"
"Adventure_2004_35","Haunted Castle","nWave Pictures","Adventure"
"Adventure_2004_36","Brother Bear","Walt Disney","Adventure"
"Adventure_2004_37","The Cat in the Hat","Universal","Adventure"
"Adventure_2004_38","Lakshya","UTV Communications","Adventure"
"Adventure_2004_39","The Legend of Johnny Lingo","Innovation Film G…","Adventure"
"Adventure_2004_40","Alien Adventure","nWave Pictures","Adventure"
"Adventure_2004_41","Timeline","Paramount Pictures","Adventure"
"Adventure_2004_42","Looney Tunes: Back in Action","Warner Bros.","Adventure"
"Adventure_2004_43","The Snow Walker","","Adventure"
"Adventure_2004_44","Tokyo Godfathers","IDP Distribution","Adventure"
"Adventure_2004_45","Spy Kids 3-D: Game Over","Miramax/Dimension","Adventure"
"Adventure_2004_46","Kaena: La prophétie","IDP Distribution","Adventure"
