"movie_id","movie_name","movie_distributor","movie_genre"
"Comedy_2000_1","Meet the Parents","Universal","Comedy"
"Comedy_2000_2","Scary Movie","Miramax/Dimension","Comedy"
"Comedy_2000_3","Nutty Professor II: The Klumps","Universal","Comedy"
"Comedy_2000_4","Big Momma's House","20th Century Fox","Comedy"
"Comedy_2000_5","The Kid","Walt Disney","Comedy"
"Comedy_2000_6","Road Trip","Dreamworks SKG","Comedy"
"Comedy_2000_7","Bring it On","Universal","Comedy"
"Comedy_2000_8","The Whole Nine Yards","Warner Bros.","Comedy"
"Comedy_2000_9","Next Friday","New Line","Comedy"
"Comedy_2000_10","Miss Congeniality","Warner Bros.","Comedy"
"Comedy_2000_11","The Replacements","Warner Bros.","Comedy"
"Comedy_2000_12","The Family Man","Universal","Comedy"
"Comedy_2000_13","Little Nicky","New Line","Comedy"
"Comedy_2000_14","Bedazzled","20th Century Fox","Comedy"
"Comedy_2000_15","28 Days","Sony Pictures","Comedy"
"Comedy_2000_16","Hanging Up","Sony Pictures","Comedy"
"Comedy_2000_17","Dude, Where's My Car?","20th Century Fox","Comedy"
"Comedy_2000_18","Almost Famous","Dreamworks SKG","Comedy"
"Comedy_2000_19","High Fidelity","Walt Disney","Comedy"
"Comedy_2000_20","Wonder Boys","Paramount Pictures","Comedy"
"Comedy_2000_21","Deuce Bigalow: Male Gigolo","Walt Disney","Comedy"
"Comedy_2000_22","Small Time Crooks","Dreamworks SKG","Comedy"
"Comedy_2000_23","Best in Show","Warner Bros.","Comedy"
"Comedy_2000_24","Drowning Mona","Destination Films","Comedy"
"Comedy_2000_25","The Ladies Man","Paramount Pictures","Comedy"
"Comedy_2000_26","The Crew","Walt Disney","Comedy"
"Comedy_2000_27","Ready to Rumble","Warner Bros.","Comedy"
"Comedy_2000_28","Saving Grace","Fine Line","Comedy"
"Comedy_2000_29","Lucky Numbers","Paramount Pictures","Comedy"
"Comedy_2000_30","3 Strikes","MGM","Comedy"
"Comedy_2000_31","Play it to the Bone","Walt Disney","Comedy"
"Comedy_2000_32","Screwed","Universal","Comedy"
"Comedy_2000_33","What Planet Are You From?","Sony Pictures","Comedy"
"Comedy_2000_34","Where the Money Is","USA Films","Comedy"
"Comedy_2000_35","Held Up","Trimark","Comedy"
"Comedy_2000_36","East is East","Miramax","Comedy"
"Comedy_2000_37","Whipped","Destination Films","Comedy"
"Comedy_2000_38","Isn't She Great","Universal","Comedy"
"Comedy_2000_39","But I'm a Cheerleader","Lionsgate","Comedy"
"Comedy_2000_40","O Brother, Where Art Thou?","Walt Disney","Comedy"
"Comedy_2000_41","La Vie Après L'Amour","Alliance Films","Comedy"
"Comedy_2000_42","The Broken Hearts Club: A R…","Sony Pictures Cla…","Comedy"
"Comedy_2000_43","Dogma","Lionsgate","Comedy"
"Comedy_2000_44","Gun Shy","Walt Disney","Comedy"
"Comedy_2000_45","State and Main","Fine Line","Comedy"
"Comedy_2000_46","Groove","Sony Pictures Cla…","Comedy"
"Comedy_2000_47","Catfish in Black Bean Sauce","Phaedra Cinema","Comedy"
"Comedy_2000_48","The Cup","Fine Line","Comedy"
"Comedy_2000_49","Simpatico","Phaedra Cinema","Comedy"
"Comedy_2000_50","New Waterford Girl","Alliance Films","Comedy"
"Comedy_2000_51","A Hard Day's Night","Universal","Comedy"
"Comedy_2000_52","Superstar","Paramount Pictures","Comedy"
"Comedy_2000_53","Luminarias","","Comedy"
"Comedy_2000_54","Smiling Fish and Goat on Fire","","Comedy"
"Comedy_2000_55","Psycho Beach Party","","Comedy"
"Comedy_2000_56","Beautiful People","Trimark","Comedy"
"Comedy_2000_57","The Closer You Get","","Comedy"
"Comedy_2000_58","The Discreet Charm of the B…","","Comedy"
"Comedy_2000_59","The Big Tease","Warner Bros.","Comedy"
"Comedy_2000_60","La Bûche","Empire Pictures","Comedy"
"Comedy_2000_61","Laura Cadieux .. La Suite","Alliance Films","Comedy"
"Comedy_2000_62","Agnes Browne","USA Films","Comedy"
"Comedy_2000_63","Bedrooms and Hallways","First Run Features","Comedy"
"Comedy_2000_64","Adorenarin doraibu","Shooting Gallery","Comedy"
"Comedy_2000_65","Blue Moon","Castle Hill Produ…","Comedy"
"Comedy_2000_66","Diamonds","Miramax","Comedy"
"Comedy_2000_67","An Everlasting Piece","Dreamworks SKG","Comedy"
"Comedy_2000_68","La Bouteille","Lionsgate","Comedy"
"Comedy_2000_69","Billy Liar","Rialto Pictures","Comedy"
"Comedy_2000_70","The Saragossa Manuscript","Cowboy Pictures","Comedy"
"Comedy_2000_71","Drive Me Crazy","20th Century Fox","Comedy"
"Comedy_2000_72","Bootmen","Fox Searchlight","Comedy"
"Comedy_2000_73","2 Männer, 2 Frauen - 4 Prob…","","Comedy"
"Comedy_2000_74","30 Days","Arrow Releasing","Comedy"
"Comedy_2000_75","Aïe","","Comedy"
"Comedy_2000_76","Mookie","","Comedy"
"Comedy_2000_77","Les convoyeurs attendent","Samuel Goldwyn Films","Comedy"
"Comedy_2000_78","Edge of Seventeen","Strand","Comedy"
"Comedy_2000_79","Chutney Popcorn","First Look","Comedy"
"Comedy_2000_80","L'Homme Nu","","Comedy"
"Comedy_2000_81","Better Living","","Comedy"
"Comedy_2001_1","American Pie 2","Universal","Comedy"
"Comedy_2001_2","The Princess Diaries","Walt Disney","Comedy"
"Comedy_2001_3","Legally Blonde","MGM","Comedy"
"Comedy_2001_4","Cats & Dogs","Warner Bros.","Comedy"
"Comedy_2001_5","Scary Movie 2","Miramax/Dimension","Comedy"
"Comedy_2001_6","Miss Congeniality","Warner Bros.","Comedy"
"Comedy_2001_7","Rat Race","Paramount Pictures","Comedy"
"Comedy_2001_8","The Animal","Sony Pictures","Comedy"
"Comedy_2001_9","Zoolander","Paramount Pictures","Comedy"
"Comedy_2001_10","O Brother, Where Art Thou?","Walt Disney","Comedy"
"Comedy_2001_11","Bandits","MGM","Comedy"
"Comedy_2001_12","Heartbreakers","MGM","Comedy"
"Comedy_2001_13","Evolution","Dreamworks SKG","Comedy"
"Comedy_2001_14","Not Another Teen Movie","Sony Pictures","Comedy"
"Comedy_2001_15","The Family Man","Universal","Comedy"
"Comedy_2001_16","What's the Worst That Could…","MGM","Comedy"
"Comedy_2001_17","Jay and Silent Bob Strike Back","Miramax/Dimension","Comedy"
"Comedy_2001_18","The Brothers","Sony Pictures","Comedy"
"Comedy_2001_19","Joe Dirt","Sony Pictures","Comedy"
"Comedy_2001_20","How High","Universal","Comedy"
"Comedy_2001_21","Corky Romano","Walt Disney","Comedy"
"Comedy_2001_22","Kingdom Come","Fox Searchlight","Comedy"
"Comedy_2001_23","Joe Somebody","20th Century Fox","Comedy"
"Comedy_2001_24","Summer Catch","Warner Bros.","Comedy"
"Comedy_2001_25","Saving Silverman","Sony Pictures","Comedy"
"Comedy_2001_26","Josie and the Pussycats","Universal","Comedy"
"Comedy_2001_27","Freddy Got Fingered","20th Century Fox","Comedy"
"Comedy_2001_28","Out Cold","Walt Disney","Comedy"
"Comedy_2001_29","Tomcats","Sony Pictures","Comedy"
"Comedy_2001_30","Sugar and Spice","New Line","Comedy"
"Comedy_2001_31","Dude, Where's My Car?","20th Century Fox","Comedy"
"Comedy_2001_32","The Wash","Lionsgate","Comedy"
"Comedy_2001_33","The Curse of the Jade Scorpion","Dreamworks SKG","Comedy"
"Comedy_2001_34","Le Placard","Miramax","Comedy"
"Comedy_2001_35","Ghost World","MGM","Comedy"
"Comedy_2001_36","Say It Isn't So","20th Century Fox","Comedy"
"Comedy_2001_37","Monkeybone","20th Century Fox","Comedy"
"Comedy_2001_38","State and Main","Fine Line","Comedy"
"Comedy_2001_39","Made","Artisan","Comedy"
"Comedy_2001_40","Pane e tulipani","First Look","Comedy"
"Comedy_2001_41","Bubble Boy","Walt Disney","Comedy"
"Comedy_2001_42","Meet the Parents","Universal","Comedy"
"Comedy_2001_43","Just Visiting","Walt Disney","Comedy"
"Comedy_2001_44","Tortilla Soup","IDP Distribution","Comedy"
"Comedy_2001_45","Pootie Tang","Paramount Pictures","Comedy"
"Comedy_2001_46","Monty Python and the Holy G…","","Comedy"
"Comedy_2001_47","Sidewalks of New York","Paramount Vantage","Comedy"
"Comedy_2001_48","Escanaba in Da Moonlight","Purple Rose Films","Comedy"
"Comedy_2001_49","The Dish","Warner Bros.","Comedy"
"Comedy_2001_50","Gosford Park","USA Films","Comedy"
"Comedy_2001_51","Novocaine","Artisan","Comedy"
"Comedy_2001_52","Best in Show","Warner Bros.","Comedy"
"Comedy_2001_53","Greenfingers","IDP Distribution","Comedy"
"Comedy_2001_54","Nuit de Noces","Seville","Comedy"
"Comedy_2001_55","The Debut","Menemsha Entertai…","Comedy"
"Comedy_2001_56","Les Boys III","Lionsgate","Comedy"
"Comedy_2001_57","Blow Dry","Miramax","Comedy"
"Comedy_2001_58","Little Nicky","New Line","Comedy"
"Comedy_2001_59","Almost Famous","Dreamworks SKG","Comedy"
"Comedy_2001_60","A Hard Day's Night","Universal","Comedy"
"Comedy_2001_61","Bedazzled","20th Century Fox","Comedy"
"Comedy_2001_62","Drôle de Félix","WinStar Cinema","Comedy"
"Comedy_2001_63","Me You Them","","Comedy"
"Comedy_2001_64","Wet Hot American Summer","","Comedy"
"Comedy_2001_65","Catfish in Black Bean Sauce","Phaedra Cinema","Comedy"
"Comedy_2001_66","Funny Girl","Columbia","Comedy"
"Comedy_2001_67","Fast Food, Fast Women","","Comedy"
"Comedy_2001_68","About Adam","Miramax","Comedy"
"Comedy_2001_69","La Bûche","Empire Pictures","Comedy"
"Comedy_2001_70","Company Man","","Comedy"
"Comedy_2001_71","Sordid Lives","Regent Releasing","Comedy"
"Comedy_2001_72","Lisa Picard is Famous","","Comedy"
"Comedy_2001_73","101 Reykjavík","","Comedy"
"Comedy_2001_74","Wonder Boys","Paramount Pictures","Comedy"
"Comedy_2001_75","Hit & Runway","","Comedy"
"Comedy_2001_76","La Ciénaga","","Comedy"
"Comedy_2001_77","Beautiful Creatures","Focus Features","Comedy"
"Comedy_2001_78","The Broken Hearts Club: A R…","Sony Pictures Cla…","Comedy"
"Comedy_2001_79","Nationale 7","","Comedy"
"Comedy_2001_80","An Everlasting Piece","Dreamworks SKG","Comedy"
"Comedy_2001_81","Born Romantic","MGM","Comedy"
"Comedy_2001_82","Amy","","Comedy"
"Comedy_2001_83","Blue Moon","Castle Hill Produ…","Comedy"
"Comedy_2001_84","Psycho Beach Party","","Comedy"
"Comedy_2001_85","Rat","","Comedy"
"Comedy_2001_86","R2PC: Road to Park City","","Comedy"
"Comedy_2001_87","Geboren in Absurdistan","","Comedy"
"Comedy_2001_88","Luminarias","","Comedy"
"Comedy_2001_89","Aïe","","Comedy"
"Comedy_2002_1","Austin Powers in Goldmember","New Line","Comedy"
"Comedy_2002_2","Mr. Deeds","Sony Pictures","Comedy"
"Comedy_2002_3","Sweet Home Alabama","Walt Disney","Comedy"
"Comedy_2002_4","Barbershop","MGM","Comedy"
"Comedy_2002_5","The Divine Secrets of the Y…","Warner Bros.","Comedy"
"Comedy_2002_6","Drumline","20th Century Fox","Comedy"
"Comedy_2002_7","Orange County","Paramount Pictures","Comedy"
"Comedy_2002_8","Gosford Park","USA Films","Comedy"
"Comedy_2002_9","Undercover Brother","Universal","Comedy"
"Comedy_2002_10","Showtime","Warner Bros.","Comedy"
"Comedy_2002_11","Friday After Next","New Line","Comedy"
"Comedy_2002_12","Analyze That","Warner Bros.","Comedy"
"Comedy_2002_13","The Banger Sisters","20th Century Fox","Comedy"
"Comedy_2002_14","The Hot Chick","Walt Disney","Comedy"
"Comedy_2002_15","The New Guy","Sony Pictures","Comedy"
"Comedy_2002_16","All About the Benjamins","New Line","Comedy"
"Comedy_2002_17","National Lampoon’s Van Wild…","Artisan","Comedy"
"Comedy_2002_18","Super Troopers","Fox Searchlight","Comedy"
"Comedy_2002_19","Punch-Drunk Love","Sony Pictures","Comedy"
"Comedy_2002_20","Eight Legged Freaks","Warner Bros.","Comedy"
"Comedy_2002_21","Kung Pow: Enter the Fist","20th Century Fox","Comedy"
"Comedy_2002_22","Stealing Harvard","Sony Pictures","Comedy"
"Comedy_2002_23","Monsoon Wedding","USA Films","Comedy"
"Comedy_2002_24","Juwanna Mann","Warner Bros.","Comedy"
"Comedy_2002_25","Sorority Boys","Walt Disney","Comedy"
"Comedy_2002_26","S1m0ne","New Line","Comedy"
"Comedy_2002_27","The Importance of Being Ear…","Miramax","Comedy"
"Comedy_2002_28","Big Trouble","Walt Disney","Comedy"
"Comedy_2002_29","How High","Universal","Comedy"
"Comedy_2002_30","Adaptation","Sony Pictures","Comedy"
"Comedy_2002_31","Real Women Have Curves","Newmarket Films","Comedy"
"Comedy_2002_32","Slackers","Sony Pictures","Comedy"
"Comedy_2002_33","Igby Goes Down","MGM","Comedy"
"Comedy_2002_34","Italian for Beginners","Miramax","Comedy"
"Comedy_2002_35","The Adventures of Pluto Nash","Warner Bros.","Comedy"
"Comedy_2002_36","Men with Brooms","Artisan","Comedy"
"Comedy_2002_37","Mostly Martha (Drei Sterne)","Paramount Vantage","Comedy"
"Comedy_2002_38","Joe Somebody","20th Century Fox","Comedy"
"Comedy_2002_39","Tadpole","Miramax","Comedy"
"Comedy_2002_40","Not Another Teen Movie","Sony Pictures","Comedy"
"Comedy_2002_41","Full Frontal","Miramax","Comedy"
"Comedy_2002_42","The Man from Elysian Fields","Samuel Goldwyn Films","Comedy"
"Comedy_2002_43","The Singles Ward","Halestorm Enterta…","Comedy"
"Comedy_2002_44","My Wife is an Actress (Ma F…","Sony Pictures Cla…","Comedy"
"Comedy_2002_45","Sordid Lives","Regent Releasing","Comedy"
"Comedy_2002_46","Human Nature","Fine Line","Comedy"
"Comedy_2002_47","The Debut","Menemsha Entertai…","Comedy"
"Comedy_2002_48","Son of the Bride","Sony Pictures Cla…","Comedy"
"Comedy_2002_49","Charly","Excel Entertainment","Comedy"
"Comedy_2002_50","Welcome to Collinwood","Warner Bros.","Comedy"
"Comedy_2002_51","Elling","","Comedy"
"Comedy_2002_52","Pumpkin","MGM","Comedy"
"Comedy_2002_53","The Château","IFC Films","Comedy"
"Comedy_2002_54","Out Cold","Walt Disney","Comedy"
"Comedy_2002_55","Corky Romano","Walt Disney","Comedy"
"Comedy_2002_56","Monty Python and the Holy G…","","Comedy"
"Comedy_2002_57","Cherish","Fine Line","Comedy"
"Comedy_2002_58","Bartleby","Outrider Pictures","Comedy"
"Comedy_2002_59","American Chai","Magic Lamp","Comedy"
"Comedy_2002_60","The Producers","","Comedy"
"Comedy_2002_61","Bandits","MGM","Comedy"
"Comedy_2002_62","Pane e tulipani","First Look","Comedy"
"Comedy_2002_63","Ghost World","MGM","Comedy"
"Comedy_2002_64","Spooky House","","Comedy"
"Comedy_2002_65","God is Great, I'm Not","","Comedy"
"Comedy_2002_66","Manna From Heaven","Five Sisters Prod…","Comedy"
"Comedy_2002_67","The Wash","Lionsgate","Comedy"
"Comedy_2002_68","Sidewalks of New York","Paramount Vantage","Comedy"
"Comedy_2002_69","Lucky Break","Paramount Pictures","Comedy"
"Comedy_2002_70","La Ciénaga","","Comedy"
"Comedy_2002_71","All the Queen's Men","Strand","Comedy"
"Comedy_2002_72","The Princess Diaries","Walt Disney","Comedy"
